time	V(probe)
Step Information: J4=-2  (Step: 1/2)
0.000000000000000e+00	3.231510e-06
1.000000000000000e-09	3.231510e-06
1.199449531894432e-09	3.231510e-06
1.246474218195727e-09	2.424232e-01
1.257386626816080e-09	6.337877e-01
1.266519855099454e-09	1.148838e+00
1.272057688717551e-09	1.333992e+00
1.278187347548823e-09	1.402164e+00
1.285328949104545e-09	1.433422e+00
1.298190815917349e-09	1.447950e+00
1.313621103645497e-09	1.446671e+00
1.340417480080771e-09	1.434234e+00
1.369096934515775e-09	1.417783e+00
1.410643178351395e-09	1.388459e+00
1.448697925053874e-09	1.354559e+00
1.500000000000000e-09	1.300709e+00
1.505130207494613e-09	1.294298e+00
1.515390622483838e-09	1.281153e+00
1.535911452462288e-09	1.253453e+00
1.576953112419189e-09	1.193573e+00
1.659036432332991e-09	1.063942e+00
1.761978278911656e-09	8.923345e-01
1.801567580967896e-09	8.243992e-01
1.826706556185325e-09	7.807713e-01
1.844808115870967e-09	7.493065e-01
1.859447580376233e-09	7.238633e-01
1.876615394193251e-09	6.940529e-01
1.886350285846100e-09	6.771713e-01
1.893472847243626e-09	6.648381e-01
1.900016193130727e-09	6.535242e-01
1.907541233417541e-09	6.405333e-01
1.915001978114109e-09	6.276786e-01
1.924443975671233e-09	6.114517e-01
1.935576207874782e-09	5.923790e-01
1.945601906920858e-09	5.752701e-01
1.958203264519124e-09	5.538846e-01
1.976842405465728e-09	5.224824e-01
1.996026168147224e-09	4.904549e-01
2.012368957812961e-09	4.634750e-01
2.031436543226107e-09	4.323709e-01
2.046998919911082e-09	4.073102e-01
2.064524071127729e-09	3.795044e-01
2.084669968653504e-09	3.480768e-01
2.107206353369967e-09	3.138199e-01
2.152241481149519e-09	2.476232e-01
2.189421220446806e-09	1.952578e-01
2.228709733637375e-09	1.431158e-01
2.287354166318693e-09	7.028262e-02
2.332177840256744e-09	1.889138e-02
2.383405754438577e-09	-3.499124e-02
2.416820770000839e-09	-6.736479e-02
2.449085959288342e-09	-9.620009e-02
2.477561115741140e-09	-1.198062e-01
2.508393181603742e-09	-1.430897e-01
2.560344576582902e-09	-1.778415e-01
2.619094054952504e-09	-2.106551e-01
2.704116678487127e-09	-2.453245e-01
2.833118397594598e-09	-2.755539e-01
2.949908715822363e-09	-2.835334e-01
3.114319435093657e-09	-2.813384e-01
3.287707354997990e-09	-2.796860e-01
3.452968146301578e-09	-2.789588e-01
