time	V(pulse)	V(ref)	V(v+)
0.000000000000000e+00	2.837411e-03	2.834117e-03	3.297166e+00
1.000000000000000e-09	2.837411e-03	2.834117e-03	3.297166e+00
1.199449531894428e-09	2.837411e-03	2.834117e-03	3.297166e+00
1.246474218195719e-09	9.205202e-01	3.759271e-01	2.924073e+00
1.257386626816070e-09	1.558368e+00	8.747771e-01	2.425223e+00
1.268028743701248e-09	1.820525e+00	1.462437e+00	1.837563e+00
1.274307127503322e-09	1.761645e+00	1.534775e+00	1.765225e+00
1.278848798847689e-09	1.786965e+00	1.504588e+00	1.795412e+00
1.283934394270986e-09	1.792322e+00	1.498709e+00	1.801291e+00
1.292694466952822e-09	1.799019e+00	1.491657e+00	1.808342e+00
1.306550971833764e-09	1.809082e+00	1.481186e+00	1.818814e+00
1.322164665007370e-09	1.820660e+00	1.469172e+00	1.830828e+00
1.339462521992169e-09	1.833941e+00	1.455415e+00	1.844585e+00
1.360289680026227e-09	1.850448e+00	1.438339e+00	1.861661e+00
1.387706888915772e-09	1.872845e+00	1.415207e+00	1.884793e+00
1.431567146854437e-09	1.909569e+00	1.377334e+00	1.922666e+00
1.447320848654441e-09	1.923058e+00	1.363441e+00	1.936558e+00
1.468492596399993e-09	1.941564e+00	1.344406e+00	1.955594e+00
1.500000000000000e-09	1.969408e+00	1.315786e+00	1.984214e+00
1.513953278737146e-09	1.981968e+00	1.302892e+00	1.997108e+00
1.527906557474293e-09	1.994593e+00	1.289938e+00	2.010062e+00
1.541859836211439e-09	2.007283e+00	1.276924e+00	2.023076e+00
1.555813114948585e-09	2.020038e+00	1.263850e+00	2.036150e+00
1.569766393685731e-09	2.032859e+00	1.250716e+00	2.049284e+00
1.583719672422877e-09	2.045744e+00	1.237522e+00	2.062478e+00
1.597672951160023e-09	2.058695e+00	1.224268e+00	2.075732e+00
1.698496642680047e-09	2.152450e+00	1.128380e+00	2.171620e+00
1.721869287146042e-09	2.174280e+00	1.106079e+00	2.193921e+00
1.740440632134318e-09	2.191649e+00	1.088351e+00	2.211649e+00
1.753079947228509e-09	2.203456e+00	1.076303e+00	2.223697e+00
1.763646042367072e-09	2.213314e+00	1.066246e+00	2.233754e+00
1.770676425261216e-09	2.219867e+00	1.059563e+00	2.240437e+00
1.775832688823443e-09	2.224669e+00	1.054666e+00	2.245334e+00
1.781687041884696e-09	2.230115e+00	1.049112e+00	2.250888e+00
1.787928921626051e-09	2.235916e+00	1.043198e+00	2.256802e+00
1.797304223762486e-09	2.244617e+00	1.034328e+00	2.265672e+00
1.808534266835335e-09	2.255022e+00	1.023722e+00	2.276278e+00
1.818006556987396e-09	2.263780e+00	1.014796e+00	2.285204e+00
1.828725381420675e-09	2.273669e+00	1.004721e+00	2.295279e+00
1.840206148214353e-09	2.284231e+00	9.939598e-01	2.306040e+00
1.854620438653324e-09	2.297449e+00	9.804970e-01	2.319503e+00
1.870909358434180e-09	2.312337e+00	9.653366e-01	2.334663e+00
1.878367157258363e-09	2.319132e+00	9.584178e-01	2.341582e+00
1.883649587463491e-09	2.323934e+00	9.535298e-01	2.346470e+00
1.888103004366914e-09	2.327975e+00	9.494159e-01	2.350584e+00
1.892085555795856e-09	2.331584e+00	9.457424e-01	2.354258e+00
1.896243317896744e-09	2.335347e+00	9.419128e-01	2.358087e+00
1.900762643401915e-09	2.339431e+00	9.377560e-01	2.362244e+00
1.904919053576887e-09	2.343181e+00	9.339395e-01	2.366060e+00
1.911721208479916e-09	2.349307e+00	9.277063e-01	2.372294e+00
1.919003951266280e-09	2.355849e+00	9.210489e-01	2.378951e+00
1.927732737915109e-09	2.363670e+00	9.130918e-01	2.386908e+00
1.934902406294179e-09	2.370076e+00	9.065750e-01	2.393425e+00
1.942602417584334e-09	2.376935e+00	8.995987e-01	2.400401e+00
1.952118425013060e-09	2.385383e+00	8.910064e-01	2.408994e+00
1.961778794457431e-09	2.393928e+00	8.823169e-01	2.417683e+00
1.972127873294705e-09	2.403038e+00	8.730537e-01	2.426946e+00
1.988940505915567e-09	2.417763e+00	8.580832e-01	2.441917e+00
1.999857819866306e-09	2.427273e+00	8.484173e-01	2.451583e+00
2.012317903108054e-09	2.438066e+00	8.374475e-01	2.462553e+00
2.021028159725465e-09	2.445576e+00	8.298163e-01	2.470184e+00
2.029753739918183e-09	2.453065e+00	8.222064e-01	2.477794e+00
2.037394643523339e-09	2.459597e+00	8.155698e-01	2.484430e+00
2.045404020867825e-09	2.466416e+00	8.086425e-01	2.491358e+00
2.054575137529509e-09	2.474192e+00	8.007441e-01	2.499256e+00
2.062741974514610e-09	2.481087e+00	7.937413e-01	2.506259e+00
2.070816100256979e-09	2.487872e+00	7.868500e-01	2.513150e+00
2.080363226428751e-09	2.495859e+00	7.787399e-01	2.521260e+00
2.089400719608643e-09	2.503378e+00	7.711045e-01	2.528896e+00
2.102386373630628e-09	2.514112e+00	7.602075e-01	2.539793e+00
2.119070528368751e-09	2.527779e+00	7.463337e-01	2.553666e+00
