time	V(probe)
0.000000000000000e+00	1.662151e-04
1.953124992195698e-15	1.662151e-04
3.906249984391395e-15	1.662151e-04
7.812499968782791e-15	1.662150e-04
1.562499993756558e-14	1.662150e-04
3.124999987513116e-14	1.662148e-04
6.249999975026233e-14	1.662145e-04
1.249999995005247e-13	1.662144e-04
2.499999990010493e-13	1.662143e-04
4.999999980020986e-13	1.662143e-04
9.999999960041972e-13	1.662144e-04
1.000000000000000e-09	1.662153e-04
1.248610568318584e-09	1.662152e-04
1.250856815379706e-09	6.557722e-02
1.252046911188019e-09	1.328117e-01
1.253029383481030e-09	1.852607e-01
1.254060399082329e-09	2.374788e-01
1.256122430284926e-09	3.338284e-01
1.259195424281884e-09	4.592308e-01
1.263009671091724e-09	5.884261e-01
1.267719795245308e-09	7.141275e-01
1.273341812175111e-09	8.247058e-01
1.280262981535752e-09	9.154594e-01
1.288051110907960e-09	9.731383e-01
1.297173311106625e-09	9.984648e-01
1.308554066905220e-09	9.870441e-01
1.320683179085508e-09	9.403439e-01
1.335676381908728e-09	8.525043e-01
1.350224233254243e-09	7.476150e-01
1.368458526605420e-09	6.016989e-01
1.390959173100741e-09	4.136651e-01
1.417917682784527e-09	1.948549e-01
1.443363953910319e-09	9.212214e-03
1.468874592113683e-09	-1.454679e-01
1.472741451943259e-09	-1.657560e-01
1.480475171602412e-09	-2.035863e-01
1.484532560681696e-09	-2.219473e-01
1.492647338840263e-09	-2.555656e-01
1.500000000000000e-09	-2.824404e-01
1.500735266115974e-09	-2.849219e-01
1.505146862811816e-09	-2.992036e-01
1.511028991739605e-09	-3.163653e-01
1.522793249595184e-09	-3.443470e-01
1.546321765306342e-09	-3.766730e-01
1.581660674831696e-09	-3.760844e-01
1.617100841096862e-09	-3.349353e-01
1.650127425877328e-09	-2.811373e-01
1.686921673290820e-09	-2.261612e-01
1.720117354236309e-09	-1.936169e-01
1.752933124823990e-09	-1.818676e-01
1.777646345769150e-09	-1.847507e-01
1.801942653347933e-09	-1.932734e-01
1.826008039871593e-09	-2.023055e-01
1.855662156009438e-09	-2.061601e-01
1.860986913081943e-09	-2.055005e-01
1.864455353525760e-09	-2.047640e-01
1.866319392385175e-09	-2.042620e-01
1.867562471598616e-09	-2.038822e-01
1.869020010711844e-09	-2.033921e-01
1.871935088938300e-09	-2.022723e-01
1.876229864277976e-09	-2.002578e-01
1.880517609365463e-09	-1.977897e-01
1.884200431943031e-09	-1.952977e-01
1.887513242037676e-09	-1.927599e-01
1.891091646495677e-09	-1.896873e-01
1.894581475879831e-09	-1.863510e-01
1.899389961362777e-09	-1.812057e-01
1.902287137417752e-09	-1.777925e-01
1.906035743212955e-09	-1.730162e-01
1.909939631819730e-09	-1.676139e-01
1.914971556514865e-09	-1.600061e-01
1.923514968459503e-09	-1.454247e-01
1.927677083091097e-09	-1.375681e-01
1.933096657380054e-09	-1.266157e-01
1.936301600403567e-09	-1.197642e-01
1.940292531946620e-09	-1.108456e-01
1.943807892235887e-09	-1.026534e-01
1.948512279435671e-09	-9.119714e-02
1.955523935187208e-09	-7.313064e-02
1.960940089192199e-09	-5.841829e-02
1.966795083672984e-09	-4.182697e-02
1.977867072692650e-09	-8.774339e-03
1.985002303920513e-09	1.352986e-02
1.991864361148501e-09	3.555430e-02
1.997277328613615e-09	5.323111e-02
2.002722084805326e-09	7.119724e-02
2.009298785783220e-09	9.303470e-02
2.014148327045330e-09	1.091558e-01
2.018859714829877e-09	1.247709e-01
2.022111229007819e-09	1.354901e-01
2.026370490574119e-09	1.494305e-01
2.032720969289714e-09	1.699270e-01
2.039970718956231e-09	1.927417e-01
2.044448125262344e-09	2.064478e-01
2.048983080590500e-09	2.199802e-01
2.052094717658118e-09	2.290360e-01
2.055958086074285e-09	2.399983e-01
2.062645283380540e-09	2.581290e-01
2.067044615943816e-09	2.694185e-01
2.071455793372584e-09	2.801932e-01
2.074712639333302e-09	2.877739e-01
2.078829992346751e-09	2.968754e-01
2.085174169558156e-09	3.097965e-01
2.092314694403150e-09	3.226387e-01
2.097378589140418e-09	3.305986e-01
2.102596433851361e-09	3.377448e-01
2.106617498672113e-09	3.424960e-01
2.111559425973297e-09	3.474155e-01
2.121443280575665e-09	3.541160e-01
2.131704314662100e-09	3.565489e-01
2.147511174999912e-09	3.511112e-01
2.167037894672835e-09	3.292878e-01
2.206091334018680e-09	2.426205e-01
2.238010364118829e-09	1.397771e-01
2.260303056557664e-09	5.938160e-02
2.281174067624873e-09	-1.575964e-02
2.302556454177350e-09	-8.716654e-02
2.325452010011518e-09	-1.518499e-01
2.352428686805090e-09	-2.061459e-01
2.389787738904824e-09	-2.347746e-01
2.425107440414083e-09	-2.119621e-01
2.465737761526400e-09	-1.385241e-01
2.490665751476023e-09	-7.781102e-02
