time	V(probe)
0.000000000000000e+00	2.657687e+00
1.000000000000000e-09	2.657687e+00
1.248610568318582e-09	2.657687e+00
1.250856815379704e-09	2.720462e+00
1.252046280744190e-09	2.783595e+00
1.252992724286942e-09	2.829229e+00
1.253996861389715e-09	2.873592e+00
1.256005135595262e-09	2.951266e+00
1.259183556432292e-09	3.048848e+00
1.263083356161603e-09	3.135357e+00
1.268066409766953e-09	3.207967e+00
1.273988857854076e-09	3.257402e+00
1.281463224136266e-09	3.285422e+00
1.289983873337916e-09	3.291137e+00
1.300020767436937e-09	3.279618e+00
1.312617661310415e-09	3.251434e+00
1.331900331072851e-09	3.193889e+00
1.349759682619471e-09	3.131645e+00
1.373628963009883e-09	3.041761e+00
1.398839227873865e-09	2.944721e+00
1.430473779536432e-09	2.830088e+00
1.460457632216578e-09	2.736876e+00
1.467455936600197e-09	2.717920e+00
1.476787009111689e-09	2.694549e+00
1.481337854977016e-09	2.683954e+00
1.490439546707671e-09	2.664376e+00
1.500000000000000e-09	2.646124e+00
1.502868135987699e-09	2.641121e+00
1.506692317304631e-09	2.634762e+00
1.514340679938495e-09	2.623148e+00
1.529637405206222e-09	2.604136e+00
1.560230855741677e-09	2.580672e+00
1.591080419924300e-09	2.571923e+00
1.618962657342002e-09	2.570982e+00
1.648900943175456e-09	2.570712e+00
1.676915085241880e-09	2.566349e+00
1.710140888003977e-09	2.551826e+00
1.750762680760681e-09	2.519592e+00
1.787403052591199e-09	2.481353e+00
1.823290412699293e-09	2.444271e+00
1.862978391818300e-09	2.416255e+00
1.873935762420524e-09	2.412332e+00
1.879287335622154e-09	2.410928e+00
1.881258813445764e-09	2.410123e+00
1.883138178140838e-09	2.409930e+00
1.885035963670247e-09	2.407288e+00
1.886839915852373e-09	2.407237e+00
1.888809855609454e-09	2.401969e+00
1.891073888931602e-09	2.402089e+00
1.893992757986934e-09	2.389185e+00
1.896818801408944e-09	2.389655e+00
1.900270141446606e-09	2.364114e+00
1.903718541413171e-09	2.365170e+00
1.908156538160133e-09	2.318308e+00
1.912969423311876e-09	2.320670e+00
1.918170537655874e-09	2.242745e+00
1.926177916611517e-09	2.174160e+00
1.930055586922866e-09	2.177536e+00
1.935209118286432e-09	2.182519e+00
1.938190007250251e-09	2.070448e+00
1.941919264786728e-09	2.074633e+00
1.944667667564772e-09	2.077899e+00
1.948083843167308e-09	2.082170e+00
1.954156394321376e-09	2.090325e+00
1.957681342080884e-09	1.926643e+00
1.961488766548170e-09	1.932360e+00
1.964065923881243e-09	1.936378e+00
1.967432502261612e-09	1.941798e+00
1.973577062118193e-09	1.952170e+00
1.977631786757179e-09	1.830623e+00
1.981966919373396e-09	1.838553e+00
1.985303888386768e-09	1.844833e+00
1.989412992894946e-09	1.852761e+00
1.996286476208117e-09	1.866458e+00
2.000767373822959e-09	1.789993e+00
2.005493105462061e-09	1.799883e+00
2.008949807380629e-09	1.807228e+00
2.013278279684104e-09	1.816535e+00
2.020406070943482e-09	1.832065e+00
2.025292868368693e-09	1.816428e+00
2.030353409532165e-09	1.827613e+00
2.034289229278568e-09	1.836322e+00
2.039002241567070e-09	1.846732e+00
2.046606034668411e-09	1.863406e+00
2.055023861930444e-09	1.881557e+00
2.061226904997397e-09	1.940434e+00
2.067190512220036e-09	1.952695e+00
2.071783454443698e-09	1.961894e+00
2.077028169957264e-09	1.972099e+00
2.084808412130984e-09	1.986572e+00
2.091358096452380e-09	2.088215e+00
2.098002275359180e-09	2.122948e+00
2.104097547280888e-09	2.155044e+00
2.111097894570386e-09	2.191934e+00
2.123132033217768e-09	2.254867e+00
2.137748009807846e-09	2.329426e+00
2.162316013542383e-09	2.446434e+00
2.210511642669351e-09	2.636756e+00
2.246005680292720e-09	2.740462e+00
2.271147694362613e-09	2.871495e+00
2.292708789157769e-09	2.836662e+00
2.312154500031509e-09	2.867681e+00
2.330345093892276e-09	2.907738e+00
2.348682337202786e-09	2.918472e+00
2.366993943807251e-09	2.908906e+00
2.392304369572706e-09	2.974557e+00
2.421706798534508e-09	3.011260e+00
2.446099350556997e-09	3.043811e+00
2.466861526538673e-09	3.062202e+00
2.488125685448365e-09	3.080508e+00
2.512062261829018e-09	3.093907e+00
2.539645776528591e-09	3.096702e+00
2.569789497223437e-09	3.080872e+00
2.596053882270685e-09	3.050128e+00
2.618017225162571e-09	3.013562e+00
2.641212769831535e-09	2.966319e+00
2.665481653137402e-09	2.908985e+00
2.690545227307337e-09	2.842910e+00
2.720870148298994e-09	2.758010e+00
2.742861980248926e-09	2.696628e+00
2.765554271802777e-09	2.636993e+00
2.791683635228026e-09	2.576832e+00
2.822779511018087e-09	2.558028e+00
2.853264137051121e-09	2.489929e+00
2.878331457364860e-09	2.478597e+00
2.903886260350656e-09	2.478830e+00
2.931376330077669e-09	2.489230e+00
2.956207684234369e-09	2.504783e+00
2.973839818618911e-09	2.517484e+00
2.989446075080855e-09	2.528057e+00
3.005221123437564e-09	2.538326e+00
3.020873175609040e-09	2.546086e+00
3.043922387062498e-09	2.550641e+00
3.065066458825088e-09	2.553904e+00
3.088872264021750e-09	2.548438e+00
3.110563722556093e-09	2.537295e+00
3.131425103774332e-09	2.522006e+00
3.151900599387570e-09	2.504409e+00
3.170181901868077e-09	2.488075e+00
3.187562382114621e-09	2.465459e+00
3.190354496251164e-09	2.477342e+00
3.192010711092008e-09	2.471600e+00
3.193395812018232e-09	2.469874e+00
3.194267265668334e-09	2.468595e+00
3.195496861220484e-09	2.467070e+00
3.196953835700184e-09	2.465288e+00
3.199249815705456e-09	2.462512e+00
3.202283133636838e-09	2.458904e+00
3.205956640537222e-09	2.454637e+00
3.210141208594514e-09	2.449922e+00
3.214964103182512e-09	2.444704e+00
3.220458481599406e-09	2.439071e+00
3.221584836031761e-09	2.450767e+00
3.222336298787461e-09	2.450034e+00
3.223337750154831e-09	2.449069e+00
3.224371106536898e-09	2.448087e+00
3.225301211532935e-09	2.447215e+00
3.227022143258339e-09	2.445631e+00
3.229081504226320e-09	2.443788e+00
3.232137354055094e-09	2.441160e+00
3.235708989810607e-09	2.438256e+00
3.240679470186525e-09	2.434523e+00
3.246795810700133e-09	2.443326e+00
3.256364111958698e-09	2.438137e+00
3.263629318182859e-09	2.447280e+00
3.270884003324065e-09	2.445157e+00
3.278469608879228e-09	2.443971e+00
3.283996546505766e-09	2.443731e+00
3.290418818232754e-09	2.444125e+00
3.296326443828521e-09	2.456341e+00
3.300258977411602e-09	2.457358e+00
3.304795240808223e-09	2.458873e+00
3.308488019419099e-09	2.460374e+00
3.312382165516913e-09	2.462211e+00
3.318504215914232e-09	2.473416e+00
3.328197003429330e-09	2.480042e+00
3.338289392894233e-09	2.488441e+00
3.349798844281259e-09	2.507341e+00
3.360256960984652e-09	2.518894e+00
3.370906403724539e-09	2.535106e+00
3.378127462000283e-09	2.544290e+00
3.383446296086275e-09	2.551248e+00
3.391735623924953e-09	2.564883e+00
3.399021814327912e-09	2.574767e+00
3.406285703253297e-09	2.584669e+00
3.420813481104067e-09	2.607497e+00
3.435732765175968e-09	2.626735e+00
3.448639134117970e-09	2.645680e+00
3.462656700371146e-09	2.660646e+00
3.476052916547160e-09	2.672822e+00
3.482182008892064e-09	2.682925e+00
3.487858268892355e-09	2.686898e+00
3.493723808620074e-09	2.690513e+00
3.499167064131392e-09	2.693412e+00
3.505428725878413e-09	2.700571e+00
3.517952049372455e-09	2.704342e+00
3.526010414583095e-09	2.710823e+00
3.533529988190692e-09	2.711885e+00
3.541609685920284e-09	2.711214e+00
3.548755125244767e-09	2.709852e+00
3.557692401567488e-09	2.713483e+00
3.569920594521900e-09	2.708226e+00
3.580233777321212e-09	2.710744e+00
3.589769937271289e-09	2.706693e+00
3.599895600155583e-09	2.703204e+00
3.610121515437630e-09	2.703461e+00
3.621409077976989e-09	2.695003e+00
3.631237771384278e-09	2.691314e+00
3.643299639784467e-09	2.681833e+00
3.657924623939210e-09	2.683307e+00
3.669343626501759e-09	2.681390e+00
3.681644410196623e-09	2.674614e+00
3.688817883856157e-09	2.683646e+00
3.695556705812805e-09	2.682048e+00
3.702837951607462e-09	2.679950e+00
3.709452627250130e-09	2.678636e+00
3.717247619029256e-09	2.689071e+00
3.725055181990446e-09	2.689116e+00
3.733650659888702e-09	2.690154e+00
3.741285652451779e-09	2.704370e+00
3.747954413504161e-09	2.706605e+00
3.755039198987399e-09	2.709650e+00
3.762259758403529e-09	2.724101e+00
3.770100553917232e-09	2.728985e+00
3.777841455761104e-09	2.742293e+00
3.784114914099391e-09	2.747300e+00
3.790068108741381e-09	2.752436e+00
3.796701520126878e-09	2.767658e+00
3.805725719014702e-09	2.776580e+00
3.812259661236703e-09	2.791997e+00
3.818790149764105e-09	2.800532e+00
3.821977586903804e-09	2.805436e+00
3.826437644216914e-09	2.812325e+00
3.830652498259259e-09	2.818850e+00
3.836122281376998e-09	2.827312e+00
3.842324030928925e-09	2.836860e+00
3.848136890692129e-09	2.845719e+00
3.853432162725144e-09	2.853672e+00
3.856855231714519e-09	2.858736e+00
3.861148142700490e-09	2.864983e+00
3.865558101503126e-09	2.869850e+00
3.870126226368611e-09	2.877606e+00
3.875469837605658e-09	2.884789e+00
3.881258278237159e-09	2.890684e+00
3.889338222133169e-09	2.902015e+00
3.897321465445281e-09	2.910819e+00
3.903596870638138e-09	2.917069e+00
3.909212056136387e-09	2.922104e+00
3.911536168962808e-09	2.924618e+00
3.913741374252742e-09	2.926027e+00
3.916945678438526e-09	2.928097e+00
3.921974530643053e-09	2.931376e+00
3.926836915050870e-09	2.934075e+00
