time	V(far)	V(near)	V(probe)
0.000000000000000e+00	2.489260e-03	2.489260e-03	2.657687e+00
1.000000000000000e-09	2.489260e-03	2.489260e-03	2.657687e+00
1.248610568318581e-09	2.489260e-03	2.489260e-03	2.657687e+00
1.250856815379703e-09	1.774705e-01	1.779768e-01	2.832668e+00
1.252061089681083e-09	3.482359e-01	3.496312e-01	3.003433e+00
1.252940698542020e-09	4.530735e-01	4.556012e-01	3.108271e+00
1.253895307369188e-09	5.509349e-01	5.552468e-01	3.206133e+00
1.255804525023526e-09	7.066813e-01	7.165264e-01	3.361879e+00
1.258213179949524e-09	8.444509e-01	8.652794e-01	3.499649e+00
1.261549263265084e-09	9.632021e-01	1.006669e+00	3.618400e+00
1.265299374224250e-09	1.034880e+00	1.113157e+00	3.690078e+00
1.269981468183487e-09	1.075513e+00	1.208082e+00	3.730710e+00
1.275440728110254e-09	1.089336e+00	1.294678e+00	3.744533e+00
1.282698297098860e-09	1.084828e+00	1.391560e+00	3.740026e+00
1.291113737779541e-09	1.067083e+00	1.484756e+00	3.722281e+00
1.302302399208249e-09	1.035703e+00	1.575711e+00	3.690900e+00
1.317538418984811e-09	9.846650e-01	1.644270e+00	3.639863e+00
1.333732047653035e-09	9.221669e-01	1.670265e+00	3.577364e+00
1.353319879053579e-09	8.381467e-01	1.677128e+00	3.493344e+00
1.375599505878663e-09	7.362895e-01	1.681649e+00	3.391487e+00
1.408021453964266e-09	5.884176e-01	1.697482e+00	3.243615e+00
1.447248295166214e-09	4.291290e-01	1.740863e+00	3.084327e+00
1.460848419991069e-09	3.819503e-01	1.765158e+00	3.037148e+00
1.472799750350291e-09	3.449176e-01	1.792189e+00	3.000115e+00
1.482692517144088e-09	3.175425e-01	1.818752e+00	2.972740e+00
1.491765745738301e-09	2.950905e-01	1.846386e+00	2.950288e+00
1.500000000000000e-09	2.768944e-01	1.874055e+00	2.932092e+00
1.503646598315896e-09	2.695109e-01	1.887101e+00	2.924709e+00
1.507293196631791e-09	2.624989e-01	1.900561e+00	2.917697e+00
1.510939794947686e-09	2.558585e-01	1.914436e+00	2.911056e+00
1.514586393263582e-09	2.495895e-01	1.928725e+00	2.904787e+00
1.518232991579477e-09	2.436921e-01	1.943430e+00	2.898890e+00
1.521879589895372e-09	2.381663e-01	1.958549e+00	2.893364e+00
1.525526188211268e-09	2.330119e-01	1.974083e+00	2.888210e+00
1.551875801848705e-09	2.043994e-01	2.095333e+00	2.859597e+00
1.581595973959125e-09	1.859774e-01	2.245735e+00	2.841175e+00
1.611142638622144e-09	1.734687e-01	2.398824e+00	2.828666e+00
1.641589962629434e-09	1.565411e-01	2.547989e+00	2.811739e+00
1.674906100724016e-09	1.230415e-01	2.688473e+00	2.778239e+00
1.707876634575200e-09	6.793402e-02	2.795301e+00	2.723132e+00
1.745902793837222e-09	-2.364809e-02	2.875103e+00	2.631550e+00
1.777244836134923e-09	-1.165743e-01	2.909347e+00	2.538623e+00
1.813046593229327e-09	-2.291518e-01	2.924705e+00	2.426046e+00
1.851910384500071e-09	-3.400958e-01	2.930293e+00	2.315102e+00
1.859019025306412e-09	-3.200140e-01	2.931344e+00	2.252335e+00
1.862951297357661e-09	-3.226863e-01	2.932096e+00	2.288179e+00
1.865178876912413e-09	-3.421386e-01	2.932586e+00	2.283113e+00
1.866480567300303e-09	-3.518649e-01	2.932896e+00	2.280214e+00
1.868056608099810e-09	-3.622975e-01	2.933295e+00	2.276764e+00
1.871208689698823e-09	-3.795691e-01	2.934179e+00	2.270071e+00
1.874961318874189e-09	-3.951747e-01	2.935388e+00	2.262442e+00
1.879265486350658e-09	-4.072185e-01	2.937002e+00	2.253507e+00
1.883559901684806e-09	-4.110254e-01	2.938874e+00	2.241335e+00
1.887113901852344e-09	-4.058370e-01	2.940633e+00	2.226229e+00
1.890970067570102e-09	-3.907734e-01	2.942770e+00	2.203030e+00
1.893481464729970e-09	-3.804946e-01	2.944294e+00	2.199442e+00
1.896129816181193e-09	-3.644913e-01	2.946019e+00	2.159672e+00
1.898859520528761e-09	-3.449681e-01	2.947926e+00	2.156256e+00
1.902692285354740e-09	-3.120145e-01	2.950832e+00	2.085170e+00
1.908515288875512e-09	-2.457172e-01	2.955774e+00	2.003844e+00
1.911350931890331e-09	-2.230999e-01	2.958415e+00	2.001525e+00
1.915171301338789e-09	-2.130407e-01	2.962223e+00	1.998855e+00
1.917384640189623e-09	-1.984141e-01	2.964561e+00	1.862786e+00
1.919927700634955e-09	-1.729644e-01	2.967369e+00	1.861502e+00
1.921741617658110e-09	-1.634446e-01	2.969451e+00	1.860728e+00
1.924070494753381e-09	-1.589059e-01	2.972221e+00	1.859909e+00
1.926185444499664e-09	-1.439817e-01	2.974832e+00	1.672115e+00
1.928263570691847e-09	-1.217704e-01	2.977485e+00	1.679267e+00
1.930074144265071e-09	-1.114046e-01	2.979869e+00	1.679039e+00
1.932276422233463e-09	-1.066903e-01	2.982857e+00	1.678922e+00
1.936680978170248e-09	-1.145088e-01	2.989126e+00	1.679208e+00
1.940893434414558e-09	-1.352244e-01	2.995486e+00	1.680129e+00
1.943637490093113e-09	-1.318324e-01	2.999817e+00	1.435011e+00
1.946671017238145e-09	-1.148626e-01	3.004775e+00	1.436354e+00
1.948705289776133e-09	-1.117006e-01	3.008200e+00	1.437433e+00
1.951384785799796e-09	-1.141870e-01	3.012830e+00	1.439071e+00
1.956466878536129e-09	-1.309664e-01	3.021978e+00	1.442843e+00
1.959694277739080e-09	-1.293095e-01	3.028029e+00	1.226144e+00
1.963155606520708e-09	-1.176777e-01	3.034719e+00	1.229566e+00
1.965750098964744e-09	-1.171449e-01	3.039867e+00	1.232381e+00
1.968983255788658e-09	-1.221914e-01	3.046434e+00	1.236181e+00
