time	V(pulse)	V(ref)	V(v+)
0.000000000000000e+00	2.836846e-03	2.833551e-03	3.297166e+00
1.000000000000000e-09	2.836846e-03	2.833551e-03	3.297166e+00
1.199449531894433e-09	2.836846e-03	2.833551e-03	3.297166e+00
1.246474218195728e-09	1.037262e+00	2.375832e-01	3.062417e+00
1.257386626816080e-09	1.842152e+00	6.119011e-01	2.688099e+00
1.266462578165432e-09	2.138047e+00	1.093370e+00	2.206630e+00
1.271912493940440e-09	2.007445e+00	1.255815e+00	2.044185e+00
1.277953954419566e-09	1.968320e+00	1.305829e+00	1.994171e+00
1.284693229024493e-09	1.956946e+00	1.321876e+00	1.978124e+00
1.297608367444246e-09	1.963741e+00	1.317378e+00	1.982622e+00
1.312814983455661e-09	1.983020e+00	1.298104e+00	2.001896e+00
1.340648657143102e-09	2.023167e+00	1.256643e+00	2.043357e+00
1.373987927317863e-09	2.070438e+00	1.207816e+00	2.092184e+00
1.419077458070496e-09	2.133501e+00	1.142803e+00	2.157197e+00
1.447824704078031e-09	2.173684e+00	1.101464e+00	2.198536e+00
1.463782292357331e-09	2.196295e+00	1.078268e+00	2.221732e+00
1.478723215627600e-09	2.217669e+00	1.056367e+00	2.243633e+00
1.500000000000000e-09	2.248324e+00	1.024984e+00	2.275016e+00
1.506383035311720e-09	2.257623e+00	1.015478e+00	2.284522e+00
1.514893749060680e-09	2.270072e+00	1.002757e+00	2.297243e+00
1.531915176558601e-09	2.295101e+00	9.772018e-01	2.322798e+00
1.565958031554442e-09	2.345272e+00	9.260473e-01	2.373953e+00
1.634043741546123e-09	2.443552e+00	8.260476e-01	2.473953e+00
1.769113084534208e-09	2.630743e+00	6.359726e-01	2.664027e+00
1.819447529333901e-09	2.696603e+00	5.692278e-01	2.730772e+00
1.851646136073514e-09	2.736514e+00	5.288461e-01	2.771154e+00
1.861506953985110e-09	2.748416e+00	5.168124e-01	2.783187e+00
1.868663200252120e-09	2.756931e+00	5.082058e-01	2.791794e+00
1.872455870891833e-09	2.761414e+00	5.036758e-01	2.796324e+00
1.876758057813972e-09	2.766475e+00	4.985626e-01	2.801437e+00
1.879526572031953e-09	2.769719e+00	4.952853e-01	2.804715e+00
1.883127533341666e-09	2.773917e+00	4.910437e-01	2.808956e+00
1.890329455961090e-09	2.782268e+00	4.826093e-01	2.817391e+00
1.897544545223356e-09	2.790573e+00	4.742230e-01	2.825777e+00
1.906519875397297e-09	2.800808e+00	4.638890e-01	2.836111e+00
1.916611434374869e-09	2.812187e+00	4.524040e-01	2.847596e+00
1.931024880885279e-09	2.828221e+00	4.362254e-01	2.863775e+00
1.945138128937569e-09	2.843689e+00	4.206230e-01	2.879377e+00
1.957924008750782e-09	2.857470e+00	4.067274e-01	2.893273e+00
1.972979819706155e-09	2.873409e+00	3.906620e-01	2.909338e+00
1.989903944037597e-09	2.890943e+00	3.729968e-01	2.927003e+00
2.013717604924999e-09	2.914912e+00	3.488604e-01	2.951140e+00
2.045795345023403e-09	2.946096e+00	3.174781e-01	2.982522e+00
2.074153423321151e-09	2.972543e+00	2.908808e-01	3.009119e+00
2.104748856218849e-09	2.999581e+00	2.637115e-01	3.036288e+00
2.154815467832262e-09	3.041013e+00	2.221196e-01	3.077880e+00
2.208656909127771e-09	3.082123e+00	1.809002e-01	3.119100e+00
2.262609575798033e-09	3.119300e+00	1.436793e-01	3.156321e+00
2.330660823772898e-09	3.161143e+00	1.018561e-01	3.198144e+00
2.388959237199279e-09	3.192835e+00	7.023610e-02	3.229764e+00
2.444856525966682e-09	3.219457e+00	4.372862e-02	3.256271e+00
2.499037938252808e-09	3.242090e+00	2.124322e-02	3.278757e+00
2.554452135994760e-09	3.262018e+00	1.495400e-03	3.298505e+00
2.630325625884254e-09	3.283435e+00	-1.965117e-02	3.319651e+00
2.782072605663242e-09	3.311886e+00	-4.755119e-02	3.347551e+00
2.941150039295598e-09	3.328520e+00	-6.355979e-02	3.363560e+00
3.062006677824881e-09	3.339524e+00	-7.386442e-02	3.373864e+00
3.163800203174430e-09	3.359279e+00	-9.266706e-02	3.392667e+00
3.273876263447302e-09	3.395354e+00	-1.274195e-01	3.427419e+00
3.401602164743660e-09	3.442571e+00	-1.730195e-01	3.473020e+00
3.494286843885081e-09	3.473961e+00	-2.031162e-01	3.503116e+00
3.561606450669320e-09	3.498307e+00	-2.262523e-01	3.526252e+00
3.630442202533177e-09	3.530715e+00	-2.571404e-01	3.557140e+00
3.693164388575832e-09	3.565835e+00	-2.908128e-01	3.590813e+00
3.761193473362299e-09	3.602980e+00	-3.264652e-01	3.626465e+00
3.824047899842284e-09	3.630849e+00	-3.530037e-01	3.653004e+00
3.895369510991496e-09	3.655029e+00	-3.756097e-01	3.675610e+00
3.969354103786595e-09	3.676268e+00	-3.951008e-01	3.695101e+00
4.027357417138944e-09	3.691909e+00	-4.093294e-01	3.709329e+00
4.054754669905991e-09	3.698777e+00	-4.155398e-01	3.715540e+00
4.086144525692584e-09	3.705898e+00	-4.219275e-01	3.721928e+00
4.093296698837039e-09	3.707370e+00	-4.232351e-01	3.723235e+00
4.096099337419362e-09	3.707904e+00	-4.237061e-01	3.723706e+00
4.098042420464748e-09	3.708264e+00	-4.240218e-01	3.724022e+00
4.100357725336403e-09	3.708683e+00	-4.243895e-01	3.724390e+00
4.102710616985653e-09	3.709100e+00	-4.247533e-01	3.724753e+00
4.106926847028487e-09	3.709823e+00	-4.253814e-01	3.725381e+00
4.112752020595076e-09	3.710775e+00	-4.262026e-01	3.726202e+00
4.121771316296041e-09	3.712149e+00	-4.273740e-01	3.727374e+00
4.133352776825108e-09	3.713741e+00	-4.287060e-01	3.728706e+00
4.149384928965261e-09	3.715631e+00	-4.302384e-01	3.730238e+00
4.169791544828157e-09	3.717521e+00	-4.316789e-01	3.731679e+00
4.197081981137818e-09	3.719185e+00	-4.327445e-01	3.732744e+00
4.237609455528769e-09	3.720385e+00	-4.330559e-01	3.733056e+00
4.272719242225406e-09	3.720416e+00	-4.323200e-01	3.732320e+00
4.316357087751225e-09	3.719240e+00	-4.302099e-01	3.730210e+00
4.355903907587846e-09	3.716885e+00	-4.270401e-01	3.727040e+00
4.403231325852388e-09	3.712391e+00	-4.216106e-01	3.721611e+00
4.429510430622183e-09	3.709010e+00	-4.177273e-01	3.717727e+00
4.456016449504338e-09	3.704773e+00	-4.130005e-01	3.713001e+00
4.488466553799432e-09	3.698656e+00	-4.063056e-01	3.706306e+00
4.531027460223620e-09	3.689355e+00	-3.962760e-01	3.696276e+00
4.574557889329240e-09	3.678701e+00	-3.848996e-01	3.684900e+00
4.616222782864186e-09	3.667767e+00	-3.732925e-01	3.673293e+00
4.652256100841254e-09	3.657989e+00	-3.629501e-01	3.662950e+00
4.691941149277468e-09	3.647189e+00	-3.515427e-01	3.651543e+00
4.747960423399705e-09	3.632403e+00	-3.359119e-01	3.635912e+00
4.792125887705755e-09	3.621534e+00	-3.243854e-01	3.624385e+00
4.838757684439036e-09	3.610937e+00	-3.131207e-01	3.613121e+00
4.890112117203775e-09	3.599356e+00	-3.008728e-01	3.600873e+00
4.956338042346224e-09	3.583073e+00	-2.838380e-01	3.583838e+00
5.002242042581731e-09	3.569755e+00	-2.700882e-01	3.570088e+00
5.054799480724899e-09	3.551656e+00	-2.515899e-01	3.551590e+00
5.094398288927211e-09	3.536405e+00	-2.360636e-01	3.536064e+00
5.136251769790336e-09	3.520130e+00	-2.194681e-01	3.519468e+00
5.179833548384866e-09	3.504858e+00	-2.038026e-01	3.503803e+00
5.206065068295633e-09	3.497425e+00	-1.961047e-01	3.496105e+00
5.237872176448656e-09	3.490750e+00	-1.890861e-01	3.489086e+00
5.268276974669012e-09	3.486325e+00	-1.843281e-01	3.484328e+00
5.300441723283800e-09	3.483296e+00	-1.809687e-01	3.480969e+00
5.336164869170850e-09	3.480680e+00	-1.780359e-01	3.478036e+00
5.382146729565429e-09	3.476818e+00	-1.738439e-01	3.473844e+00
5.412152255967831e-09	3.473307e+00	-1.701561e-01	3.470156e+00
5.439638366888319e-09	3.469069e+00	-1.657708e-01	3.465771e+00
5.472840682376230e-09	3.463166e+00	-1.596850e-01	3.459685e+00
5.514230588036194e-09	3.455702e+00	-1.519713e-01	3.451971e+00
5.569074535195273e-09	3.447205e+00	-1.431053e-01	3.443105e+00
5.637766401595500e-09	3.439811e+00	-1.352133e-01	3.435213e+00
5.704985789056137e-09	3.435677e+00	-1.305949e-01	3.430595e+00
5.751683758320787e-09	3.433941e+00	-1.285492e-01	3.428549e+00
5.808168799355696e-09	3.431916e+00	-1.261825e-01	3.426183e+00
5.844408144307403e-09	3.430311e+00	-1.243696e-01	3.424370e+00
5.868757990488401e-09	3.429057e+00	-1.229768e-01	3.422977e+00
5.895459950257598e-09	3.427598e+00	-1.213659e-01	3.421366e+00
5.922641986559254e-09	3.426103e+00	-1.197157e-01	3.419716e+00
5.950485010788564e-09	3.424579e+00	-1.180351e-01	3.418035e+00
5.987218376475225e-09	3.422530e+00	-1.157882e-01	3.415788e+00
6.023854494530620e-09	3.420333e+00	-1.134054e-01	3.413405e+00
6.066181329129553e-09	3.417477e+00	-1.103490e-01	3.410349e+00
6.104946173019529e-09	3.414446e+00	-1.071498e-01	3.407150e+00
6.152024545824010e-09	3.410205e+00	-1.027213e-01	3.402721e+00
6.188838969953017e-09	3.406457e+00	-9.884035e-02	3.398840e+00
6.223353134327448e-09	3.402566e+00	-9.483610e-02	3.394836e+00
6.263414039980397e-09	3.397708e+00	-8.985582e-02	3.389856e+00
6.306867235700366e-09	3.392140e+00	-8.417005e-02	3.384170e+00
6.341391325332040e-09	3.387510e+00	-7.945642e-02	3.379457e+00
6.374887382653322e-09	3.382874e+00	-7.474710e-02	3.374747e+00
6.406770933261872e-09	3.378432e+00	-7.023831e-02	3.370238e+00
6.435527937220516e-09	3.374532e+00	-6.627648e-02	3.366277e+00
6.468669817804283e-09	3.370327e+00	-6.199746e-02	3.361997e+00
6.509107437473286e-09	3.365505e+00	-5.710193e-02	3.357102e+00
6.570171701461219e-09	3.357847e+00	-4.939924e-02	3.349399e+00
6.618318086242300e-09	3.350281e+00	-4.187605e-02	3.341876e+00
6.663227805108594e-09	3.340941e+00	-3.264078e-02	3.332641e+00
6.713190901845444e-09	3.328495e+00	-2.033132e-02	3.320331e+00
6.769107354774642e-09	3.314206e+00	-6.159204e-03	3.306159e+00
6.812013061205849e-09	3.304772e+00	3.234244e-03	3.296766e+00
6.854665614231287e-09	3.297964e+00	1.002838e-02	3.289972e+00
6.904365338732869e-09	3.292491e+00	1.545813e-02	3.284542e+00
6.962012090329530e-09	3.286903e+00	2.091215e-02	3.279088e+00
7.014498134375696e-09	3.280268e+00	2.733688e-02	3.272663e+00
7.079829780007050e-09	3.268948e+00	3.832506e-02	3.261675e+00
7.138768805792517e-09	3.257009e+00	4.996298e-02	3.250037e+00
7.177852270705906e-09	3.249331e+00	5.746885e-02	3.242531e+00
7.220145759637578e-09	3.242594e+00	6.405590e-02	3.235944e+00
7.264120366775596e-09	3.237685e+00	6.882521e-02	3.231175e+00
7.307122750639210e-09	3.234687e+00	7.168075e-02	3.228319e+00
7.354367311089044e-09	3.232522e+00	7.366338e-02	3.226337e+00
7.403454755888522e-09	3.230502e+00	7.546566e-02	3.224534e+00
7.443931509312155e-09	3.228624e+00	7.714979e-02	3.222850e+00
7.464159405661235e-09	3.227551e+00	7.812306e-02	3.221877e+00
7.481444640354366e-09	3.226568e+00	7.902133e-02	3.220979e+00
7.504909977417750e-09	3.225223e+00	8.025425e-02	3.219746e+00
7.529834366342402e-09	3.223825e+00	8.153579e-02	3.218464e+00
7.536999699859288e-09	3.223441e+00	8.188724e-02	3.218113e+00
7.545533969547671e-09	3.223009e+00	8.228147e-02	3.217719e+00
7.556334941429509e-09	3.222493e+00	8.275005e-02	3.217250e+00
7.567361469017682e-09	3.222012e+00	8.318408e-02	3.216816e+00
7.583898783223175e-09	3.221384e+00	8.374351e-02	3.216256e+00
7.603459163601751e-09	3.220806e+00	8.424184e-02	3.215758e+00
7.637678401339513e-09	3.220162e+00	8.474959e-02	3.215250e+00
7.673029502720008e-09	3.219893e+00	8.487937e-02	3.215121e+00
7.711960764421346e-09	3.219974e+00	8.464337e-02	3.215357e+00
7.751456409134973e-09	3.220335e+00	8.412618e-02	3.215874e+00
7.815094981519817e-09	3.221232e+00	8.297905e-02	3.217021e+00
7.850842312839634e-09	3.221864e+00	8.220773e-02	3.217792e+00
7.877184356319243e-09	3.222376e+00	8.159325e-02	3.218407e+00
7.901576076827813e-09	3.222821e+00	8.105067e-02	3.218949e+00
7.931758638649278e-09	3.223322e+00	8.043040e-02	3.219570e+00
