time	V(probe)
Step Information: J4=-2  (Step: 1/2)
0.000000000000000e+00	3.799109e-06
1.000000000000000e-09	3.799109e-06
1.199449531894432e-09	3.799109e-06
1.246474218195727e-09	3.814976e-01
1.257386626816080e-09	8.959621e-01
1.268028743701260e-09	1.510916e+00
1.274246907931334e-09	1.593544e+00
1.278854649066454e-09	1.565805e+00
1.283990290326375e-09	1.562043e+00
1.293281865986601e-09	1.559344e+00
1.311865017307054e-09	1.555100e+00
1.336437405202411e-09	1.549039e+00
1.368328180139808e-09	1.539688e+00
1.407558624076989e-09	1.525517e+00
1.443392556219916e-09	1.510164e+00
1.450647422146144e-09	1.506609e+00
1.465157153998602e-09	1.498901e+00
1.470980536295085e-09	1.495663e+00
1.482627300888053e-09	1.488831e+00
1.500000000000000e-09	1.478277e+00
1.505211809733584e-09	1.474923e+00
1.512160889378363e-09	1.470343e+00
1.526059048667921e-09	1.460825e+00
1.553855367247036e-09	1.440542e+00
1.609448004405267e-09	1.396130e+00
1.720633278721728e-09	1.298860e+00
1.821923518192914e-09	1.203819e+00
1.870862056116379e-09	1.155686e+00
1.889267501019201e-09	1.137151e+00
1.899727644119754e-09	1.126518e+00
1.908170985944494e-09	1.117898e+00
1.917014137551817e-09	1.108841e+00
1.926910023631432e-09	1.098674e+00
1.940023672254731e-09	1.085160e+00
1.952680263100178e-09	1.072078e+00
1.966965661190851e-09	1.057270e+00
1.985011307099668e-09	1.038515e+00
2.008820225336452e-09	1.013719e+00
2.042378590814671e-09	9.787365e-01
2.070387989923602e-09	9.495597e-01
2.101507915489045e-09	9.172312e-01
2.136570324870812e-09	8.809982e-01
2.180017642292680e-09	8.364466e-01
2.219166045275791e-09	7.967262e-01
2.261186304463521e-09	7.546487e-01
2.301125895877118e-09	7.152960e-01
2.349648826585927e-09	6.684027e-01
2.395894408102405e-09	6.248003e-01
2.457077003388276e-09	5.691987e-01
2.551686327479227e-09	4.872108e-01
2.630532915849765e-09	4.229039e-01
2.717849280116861e-09	3.566158e-01
2.808453790745879e-09	2.944334e-01
2.968764193584576e-09	1.976197e-01
3.117328180824827e-09	1.173414e-01
3.312640680824828e-09	1.869320e-02
3.502102883918334e-09	-7.572329e-02
3.697415383918335e-09	-1.781090e-01
3.892727883918335e-09	-2.895736e-01
4.088040383918335e-09	-4.044906e-01
4.260647344860831e-09	-5.006469e-01
4.444215328267064e-09	-5.921324e-01
4.579148493021729e-09	-6.483874e-01
4.726389500397608e-09	-6.960316e-01
4.854832480465384e-09	-7.270508e-01
4.976375583044530e-09	-7.479348e-01
5.075440013460436e-09	-7.570229e-01
5.176828295048511e-09	-7.567827e-01
5.240099055810194e-09	-7.511507e-01
5.322315182840911e-09	-7.395263e-01
5.394280628482343e-09	-7.284440e-01
5.473285335687519e-09	-7.163016e-01
5.562681254255751e-09	-7.025368e-01
5.741473091392215e-09	-6.745054e-01
5.861081259982381e-09	-6.557595e-01
5.926836131897778e-09	-6.460690e-01
6.015049307227955e-09	-6.343886e-01
6.054508759530881e-09	-6.295551e-01
6.110579318465940e-09	-6.226014e-01
6.147470561599750e-09	-6.174709e-01
6.197344308274788e-09	-6.095029e-01
6.243782422838369e-09	-6.009972e-01
6.281007791093885e-09	-5.930290e-01
6.333108066625976e-09	-5.802732e-01
6.368582121165536e-09	-5.707896e-01
6.395533217443158e-09	-5.634004e-01
6.425362286482660e-09	-5.555831e-01
6.450847368496352e-09	-5.494562e-01
6.477299299391652e-09	-5.437068e-01
6.515263744606636e-09	-5.361300e-01
6.557377923524322e-09	-5.282302e-01
6.602398185887823e-09	-5.201283e-01
6.652039101183219e-09	-5.112996e-01
6.703742350400166e-09	-5.018386e-01
6.758668357475079e-09	-4.910777e-01
6.812274562110615e-09	-4.795157e-01
6.877751881788973e-09	-4.639215e-01
6.973560316756868e-09	-4.393471e-01
7.069565541590501e-09	-4.134636e-01
7.140914420295695e-09	-3.934014e-01
7.177498611867859e-09	-3.825579e-01
7.221447261298802e-09	-3.687479e-01
7.253818537833225e-09	-3.579490e-01
7.297014411100554e-09	-3.427399e-01
7.358007440650462e-09	-3.205627e-01
7.461983267804662e-09	-2.822579e-01
7.599722302291913e-09	-2.312401e-01
7.688482727258661e-09	-1.978157e-01
7.780439643828091e-09	-1.623515e-01
7.837544113372128e-09	-1.400956e-01
7.913730826118149e-09	-1.106964e-01
7.976472575118392e-09	-8.741785e-02
8.062076729855988e-09	-5.826284e-02
8.203637197016593e-09	-1.497870e-02
8.337409132419424e-09	2.254669e-02
8.449473593091190e-09	5.200638e-02
8.577217000811359e-09	8.331676e-02
8.691514125736094e-09	1.089600e-01
8.839378127266737e-09	1.391790e-01
9.003564735634892e-09	1.690193e-01
9.148709404410446e-09	1.911855e-01
9.301805715306238e-09	2.113218e-01
9.421071218874381e-09	2.266028e-01
9.549380788572899e-09	2.430662e-01
9.700887671877160e-09	2.610128e-01
9.835332603680267e-09	2.746227e-01
9.978418825506053e-09	2.869873e-01
1.009128162963677e-08	2.953769e-01
1.022738409780722e-08	3.033289e-01
1.033145526755110e-08	3.066547e-01
1.044616432684299e-08	3.062293e-01
1.058652157185296e-08	3.016467e-01
1.074970989910249e-08	2.945209e-01
1.081863664208797e-08	2.916570e-01
1.091227731359354e-08	2.876025e-01
1.098595508522855e-08	2.832883e-01
1.105140739153939e-08	2.779706e-01
1.112392791224935e-08	2.707152e-01
1.120142150870436e-08	2.622626e-01
1.126284406009419e-08	2.553798e-01
1.132750079343820e-08	2.479642e-01
1.136782809289925e-08	2.431701e-01
1.140319543464739e-08	2.388445e-01
1.144115151092822e-08	2.341569e-01
1.147762717419544e-08	2.296199e-01
1.151461258278338e-08	2.249296e-01
1.154850541744336e-08	2.204882e-01
1.158920713330989e-08	2.149879e-01
1.163091917520168e-08	2.093390e-01
1.171434325898526e-08	1.984977e-01
1.179141086098427e-08	1.892873e-01
1.186718688721687e-08	1.809540e-01
1.190922976676678e-08	1.764572e-01
1.196430508143455e-08	1.704362e-01
1.201993067468067e-08	1.640821e-01
1.208378349007768e-08	1.564467e-01
1.214647504499565e-08	1.486610e-01
1.227185815483160e-08	1.330363e-01
1.240853690765310e-08	1.166924e-01
1.251420806110897e-08	1.043717e-01
1.262815077843090e-08	9.038492e-02
1.271419072271648e-08	7.886506e-02
1.281506571171257e-08	6.492869e-02
1.291233337529009e-08	5.193839e-02
1.303782316418953e-08	3.569696e-02
1.317429737467842e-08	1.801804e-02
1.330090716169737e-08	1.536218e-03
1.338888414764808e-08	-9.650517e-03
1.349396055029127e-08	-2.238721e-02
1.355601189038010e-08	-2.949212e-02
1.364762434630393e-08	-3.929793e-02
1.379587310491778e-08	-5.401150e-02
1.395607857104319e-08	-6.879232e-02
1.405250679812107e-08	-7.690267e-02
1.417210804889623e-08	-8.574317e-02
1.425400390130478e-08	-9.109926e-02
1.435348040139978e-08	-9.710798e-02
1.448872693713746e-08	-1.043344e-01
1.462594672569965e-08	-1.097426e-01
1.479881263820220e-08	-1.142850e-01
1.497058959010326e-08	-1.177172e-01
1.516590209010327e-08	-1.209125e-01
1.536121459010327e-08	-1.232131e-01
1.547266650519482e-08	-1.237270e-01
1.557033097917434e-08	-1.232926e-01
1.565253369531385e-08	-1.222361e-01
1.572150524364286e-08	-1.210018e-01
1.578131807016134e-08	-1.199113e-01
1.584492473866379e-08	-1.188799e-01
1.588904204846048e-08	-1.182200e-01
1.593699092065602e-08	-1.174121e-01
1.599005596461636e-08	-1.162205e-01
1.604912656210754e-08	-1.144888e-01
1.611514179008281e-08	-1.122502e-01
1.618162500087737e-08	-1.099321e-01
1.622474150742931e-08	-1.084702e-01
1.626873377620985e-08	-1.069929e-01
1.629479673305728e-08	-1.060809e-01
1.632290420090364e-08	-1.050297e-01
1.635303454179071e-08	-1.038265e-01
1.637689930695694e-08	-1.028161e-01
1.640395939447522e-08	-1.016192e-01
1.642777246187659e-08	-1.005350e-01
1.645569233684066e-08	-9.924074e-02
1.648531576030830e-08	-9.786360e-02
1.654456260724357e-08	-9.512997e-02
1.660616527434587e-08	-9.229477e-02
1.664619637844388e-08	-9.041198e-02
1.668406694751071e-08	-8.854501e-02
1.672748403377671e-08	-8.628309e-02
1.678028636217469e-08	-8.340255e-02
1.682051295083536e-08	-8.114458e-02
1.685333304417476e-08	-7.928360e-02
1.688699209549664e-08	-7.737894e-02
1.692183254249652e-08	-7.541166e-02
1.695793706777154e-08	-7.336602e-02
1.700653089927355e-08	-7.059647e-02
1.705183190027284e-08	-6.800880e-02
1.712007911643183e-08	-6.411002e-02
1.716936806847175e-08	-6.126690e-02
1.723019313192421e-08	-5.767930e-02
1.728368513128402e-08	-5.445946e-02
1.734436891371205e-08	-5.084557e-02
1.742203259198226e-08	-4.647542e-02
1.750713240825009e-08	-4.197711e-02
1.761559471674271e-08	-3.623793e-02
1.772672692210325e-08	-3.006074e-02
1.785937348851722e-08	-2.259317e-02
1.799808518092817e-08	-1.509446e-02
1.814627163383329e-08	-7.495098e-03
1.828286285923443e-08	-7.807203e-04
1.840847487513898e-08	5.193775e-03
1.852794447656305e-08	1.068514e-02
1.860274255140468e-08	1.397094e-02
1.868571294089847e-08	1.749500e-02
1.873835869431889e-08	1.971834e-02
1.882958092336323e-08	2.351483e-02
1.894161569766635e-08	2.794437e-02
1.900497469871924e-08	3.024471e-02
1.908613056306258e-08	3.300404e-02
1.913645072303364e-08	3.465159e-02
1.920336152638880e-08	3.670689e-02
1.926831958914784e-08	3.851590e-02
1.935589314106617e-08	4.069452e-02
1.945265203075805e-08	4.285626e-02
1.954076396522665e-08	4.460955e-02
1.963724137824101e-08	4.631013e-02
1.974514766140147e-08	4.803228e-02
1.985221739237411e-08	4.958162e-02
1.997389966315518e-08	5.105606e-02
2.008463125546444e-08	5.200292e-02
2.021210986097234e-08	5.253096e-02
2.040652203628067e-08	5.245760e-02
2.060183453628067e-08	5.153558e-02
2.079714703628067e-08	4.991321e-02
2.091036046046680e-08	4.868881e-02
2.100890573555780e-08	4.746666e-02
2.111944688911001e-08	4.599890e-02
2.120252338566253e-08	4.481001e-02
2.129936131897292e-08	4.327375e-02
2.143382959222749e-08	4.090228e-02
2.157507476794502e-08	3.818760e-02
2.171685624942108e-08	3.528162e-02
2.184820975461611e-08	3.243306e-02
2.198205366616501e-08	2.939722e-02
2.212612667453531e-08	2.606370e-02
2.227951423916839e-08	2.247482e-02
2.247425273610596e-08	1.784373e-02
2.266756275096282e-08	1.321722e-02
2.286287525096282e-08	8.624253e-03
2.305818775096282e-08	4.200161e-03
2.325350025096282e-08	1.447117e-05
2.344881275096282e-08	-3.851636e-03
2.364412525096282e-08	-7.366191e-03
2.383943775096282e-08	-1.053683e-02
2.403475025096283e-08	-1.333985e-02
2.423006275096283e-08	-1.575312e-02
2.442537525096283e-08	-1.777782e-02
2.462068775096283e-08	-1.939780e-02
2.481600025096283e-08	-2.061018e-02
2.501131275096283e-08	-2.143801e-02
2.520662525096283e-08	-2.188094e-02
2.540193775096284e-08	-2.193852e-02
2.559725025096284e-08	-2.164043e-02
2.579256275096284e-08	-2.101093e-02
2.598787525096284e-08	-2.007440e-02
2.618318775096284e-08	-1.890839e-02
2.627428525729185e-08	-1.829336e-02
2.632988463269235e-08	-1.788135e-02
2.641044000172875e-08	-1.724733e-02
2.642144499339877e-08	-1.715686e-02
2.644345497673883e-08	-1.697071e-02
2.645598003331989e-08	-1.686390e-02
2.647494988683787e-08	-1.670064e-02
2.650000000000000e-08	-1.648359e-02
2.650751503394864e-08	-1.641759e-02
2.651753507921349e-08	-1.632880e-02
2.653757516974320e-08	-1.614770e-02
2.657765535080261e-08	-1.577524e-02
2.660693452447481e-08	-1.549535e-02
2.664317154571087e-08	-1.514503e-02
2.667661234626507e-08	-1.482778e-02
2.671216126944924e-08	-1.450038e-02
2.672628428427298e-08	-1.437342e-02
2.673559069740666e-08	-1.429090e-02
2.674139519250133e-08	-1.423963e-02
2.674545188203761e-08	-1.420385e-02
2.674864663234917e-08	-1.404903e-02
2.675145097919071e-08	-1.356016e-02
2.675406487905573e-08	-1.276318e-02
2.675682040829949e-08	-1.179870e-02
2.676172170300205e-08	-1.007429e-02
2.677152429240717e-08	-6.604802e-03
2.678563956114791e-08	-1.586262e-03
2.680472486960499e-08	5.184804e-03
2.682846989482666e-08	1.346008e-02
2.685821412593235e-08	2.336958e-02
2.689193403786118e-08	3.367002e-02
2.692796844891256e-08	4.318371e-02
2.696424994201329e-08	5.080213e-02
2.700000000000000e-08	5.665698e-02
2.700279629633261e-08	5.695274e-02
2.700838888899781e-08	5.749651e-02
2.701957407432822e-08	5.835798e-02
2.704024934028663e-08	5.926971e-02
2.706616599612647e-08	5.927795e-02
2.709219514263196e-08	5.788619e-02
2.712338115785401e-08	5.436333e-02
2.715899564314730e-08	4.804940e-02
2.720623145726263e-08	3.640505e-02
2.727697118087889e-08	1.490887e-02
2.733896229666928e-08	-5.920098e-03
2.736717450804748e-08	-1.560148e-02
2.738561454568460e-08	-2.177299e-02
2.739780396779722e-08	-2.571262e-02
2.740742461312817e-08	-2.871680e-02
2.741732653101006e-08	-3.170383e-02
2.742728267774220e-08	-3.457258e-02
2.744441044431129e-08	-3.921324e-02
2.746108320002167e-08	-4.337211e-02
2.747813360903907e-08	-4.705070e-02
2.751223442707388e-08	-5.290031e-02
2.754577776800908e-08	-5.691724e-02
2.757134048256971e-08	-5.837704e-02
2.760458893239429e-08	-5.791987e-02
2.765142507211397e-08	-5.365318e-02
2.770154551060826e-08	-4.496768e-02
2.775175836415031e-08	-3.246124e-02
2.780209554634867e-08	-1.711924e-02
2.785392296703508e-08	1.675786e-04
2.790567994327323e-08	1.732015e-02
2.796088608260827e-08	3.380223e-02
2.801252369693940e-08	4.620828e-02
2.805767848059527e-08	5.384794e-02
2.809087432369915e-08	5.703708e-02
2.812166744405286e-08	5.779563e-02
2.815712484165291e-08	5.624950e-02
2.819309076306790e-08	5.216587e-02
2.823467668733377e-08	4.488497e-02
2.825591683635207e-08	4.011364e-02
2.827687161871880e-08	3.462250e-02
2.829479778730371e-08	2.948359e-02
2.831567461752736e-08	2.306898e-02
2.833776812011650e-08	1.592775e-02
2.835898470213629e-08	8.823041e-03
2.837929771182397e-08	1.893523e-03
2.840558547737532e-08	-7.052202e-03
2.843936123375444e-08	-1.824150e-02
2.846776570523060e-08	-2.708816e-02
2.850024723971049e-08	-3.615676e-02
2.853666035877657e-08	-4.496520e-02
2.855693915136753e-08	-4.902367e-02
2.857862708438503e-08	-5.245145e-02
2.859986565653819e-08	-5.497157e-02
2.862176110246283e-08	-5.670507e-02
2.863867990213874e-08	-5.734147e-02
2.866206699001438e-08	-5.709735e-02
2.869537280516145e-08	-5.523970e-02
2.871231379436069e-08	-5.358107e-02
2.872431604459364e-08	-5.198139e-02
2.873586621901954e-08	-5.015432e-02
2.874979844920867e-08	-4.762364e-02
2.876613910306409e-08	-4.430243e-02
2.877616578689604e-08	-4.206398e-02
2.878652881571512e-08	-3.958316e-02
