time	V(probe)
0.000000000000000e+00	1.661415e-04
1.000000000000000e-09	1.661415e-04
1.248610568318584e-09	1.661415e-04
1.250856815379706e-09	6.560479e-02
1.252043615195487e-09	1.327084e-01
1.253025925932242e-09	1.852310e-01
1.254056387954616e-09	2.375504e-01
1.256117311999364e-09	3.342808e-01
1.259814965627779e-09	4.842938e-01
1.264380714205288e-09	6.340894e-01
1.270402035168506e-09	7.845475e-01
1.276984255188055e-09	9.025604e-01
1.287684315293379e-09	1.025328e+00
1.299614817647753e-09	1.097641e+00
1.315065386795818e-09	1.138155e+00
1.332187703130485e-09	1.148654e+00
1.355559849730346e-09	1.139622e+00
1.380926391787408e-09	1.117137e+00
1.413794849422054e-09	1.078285e+00
1.454876493348554e-09	1.016155e+00
1.462997317982698e-09	1.002051e+00
1.479238967250988e-09	9.720054e-01
1.500000000000000e-09	9.301724e-01
1.502076103274901e-09	9.257663e-01
1.506228309824704e-09	9.168841e-01
1.514532722924309e-09	8.987093e-01
1.531141549123519e-09	8.608318e-01
1.564359201521939e-09	7.799485e-01
1.626849594129598e-09	6.159683e-01
1.697572063810588e-09	4.236823e-01
1.769661625246516e-09	2.328015e-01
1.853157574575768e-09	2.901772e-02
1.876352302943538e-09	-2.338378e-02
1.887661730122550e-09	-4.814763e-02
1.891945409658051e-09	-5.738670e-02
1.895217797891626e-09	-6.439129e-02
1.898752106696334e-09	-7.190395e-02
1.902140836146139e-09	-7.905540e-02
1.907371599420249e-09	-8.999325e-02
1.911254661843602e-09	-9.803312e-02
1.914838926009984e-09	-1.053928e-01
1.918017895372573e-09	-1.118703e-01
1.921691495476004e-09	-1.192968e-01
1.925185369546851e-09	-1.263011e-01
1.928847935734639e-09	-1.335805e-01
1.932630836594442e-09	-1.410311e-01
1.936912745598186e-09	-1.493801e-01
1.940954440749575e-09	-1.571788e-01
1.945085052512571e-09	-1.650637e-01
1.949187609884544e-09	-1.728099e-01
1.953908971382189e-09	-1.816183e-01
1.958978358004287e-09	-1.909499e-01
1.964131014220383e-09	-2.002954e-01
1.969522285272210e-09	-2.099236e-01
1.975671993828491e-09	-2.207166e-01
1.982326212813158e-09	-2.321682e-01
1.989107676292069e-09	-2.435853e-01
1.996076377818951e-09	-2.550516e-01
2.004094895361861e-09	-2.679074e-01
2.012883173649127e-09	-2.815835e-01
2.021904107231106e-09	-2.951519e-01
2.033919118342587e-09	-3.124926e-01
2.048394687668825e-09	-3.322445e-01
2.065139831285296e-09	-3.535256e-01
