time	V(probe)	V(n024)
0.000000000000000e+00	1.661415e-04	4.461588e-06
1.000000000000000e-09	1.661415e-04	4.461588e-06
1.248610568318584e-09	1.661415e-04	4.461588e-06
1.250856815379706e-09	1.820548e-01	1.818928e-01
1.252059507192776e-09	3.631049e-01	3.629425e-01
1.252967944330145e-09	4.826446e-01	4.824821e-01
1.253944080779120e-09	5.967118e-01	5.965490e-01
1.255896353677070e-09	7.873114e-01	7.871482e-01
1.258436891524485e-09	9.746895e-01	9.745260e-01
1.261985916169441e-09	1.154076e+00	1.153912e+00
1.266343409385805e-09	1.287712e+00	1.287548e+00
1.271686058608270e-09	1.375789e+00	1.375625e+00
1.277921560115400e-09	1.423531e+00	1.423367e+00
1.285813586835813e-09	1.446216e+00	1.446051e+00
1.295838422247134e-09	1.452345e+00	1.452181e+00
1.309825617959310e-09	1.449441e+00	1.449276e+00
1.326883578974788e-09	1.442378e+00	1.442213e+00
1.347657586582771e-09	1.432656e+00	1.432491e+00
1.373195865339143e-09	1.418723e+00	1.418558e+00
1.406706236156637e-09	1.396029e+00	1.395865e+00
1.437146957468264e-09	1.370467e+00	1.370303e+00
1.465777367942567e-09	1.342024e+00	1.341859e+00
1.500000000000000e-09	1.302899e+00	1.302735e+00
1.503422263205744e-09	1.298678e+00	1.298513e+00
1.510266789617230e-09	1.290143e+00	1.289979e+00
1.523955842440204e-09	1.272550e+00	1.272386e+00
1.551333948086150e-09	1.235506e+00	1.235342e+00
1.606090159378044e-09	1.155539e+00	1.155375e+00
1.667901948517520e-09	1.058241e+00	1.058077e+00
1.745920002431086e-09	9.283054e-01	9.281420e-01
1.829539566235766e-09	7.835298e-01	7.833666e-01
1.866734042561993e-09	7.181253e-01	7.179623e-01
1.871879288878962e-09	7.090679e-01	7.089049e-01
1.874890170220807e-09	7.037684e-01	7.036054e-01
1.877450210123007e-09	6.992629e-01	6.990999e-01
1.880592640043908e-09	6.937335e-01	6.935704e-01
1.883559497221716e-09	6.885141e-01	6.883510e-01
1.887024692250982e-09	6.824197e-01	6.822567e-01
1.890850361407030e-09	6.756940e-01	6.755310e-01
1.894857425220270e-09	6.686527e-01	6.684898e-01
1.899054663267885e-09	6.612815e-01	6.611187e-01
1.903922964383480e-09	6.527380e-01	6.525754e-01
1.909103409094928e-09	6.436554e-01	6.434927e-01
1.913910578716395e-09	6.352355e-01	6.350732e-01
1.918837760773955e-09	6.266155e-01	6.264533e-01
1.927333711499018e-09	6.117772e-01	6.116160e-01
1.935733240259086e-09	5.971436e-01	5.969834e-01
1.942091077703073e-09	5.860944e-01	5.859342e-01
1.949798493870882e-09	5.727339e-01	5.725738e-01
1.955563091660813e-09	5.627645e-01	5.626073e-01
1.961716734233249e-09	5.521521e-01	5.519950e-01
1.969221048527996e-09	5.392461e-01	5.390931e-01
1.979518130434100e-09	5.216177e-01	5.214660e-01
1.988118521332341e-09	5.069672e-01	5.068156e-01
1.998155350002489e-09	4.899595e-01	4.898078e-01
2.006532336794931e-09	4.758348e-01	4.756909e-01
2.016179828606227e-09	4.596703e-01	4.595264e-01
2.027645663370876e-09	4.405870e-01	4.404528e-01
2.042167144369205e-09	4.166558e-01	4.165240e-01
2.062660827511707e-09	3.833441e-01	3.832197e-01
2.083722112869037e-09	3.497269e-01	3.496026e-01
2.106879097600061e-09	3.135182e-01	3.134097e-01
2.128013384939675e-09	2.812290e-01	2.811278e-01
2.155682771695893e-09	2.401115e-01	2.400189e-01
2.185109306867070e-09	1.979040e-01	1.978195e-01
2.209446928972864e-09	1.642467e-01	1.641622e-01
2.238093150182200e-09	1.261312e-01	1.260582e-01
2.265529360361285e-09	9.122194e-02	9.114903e-02
2.295105919394951e-09	5.537220e-02	5.530754e-02
2.322611165916888e-09	2.374522e-02	2.368061e-02
2.345559624011612e-09	-1.365767e-03	-1.430319e-03
2.369815582536889e-09	-2.663323e-02	-2.669773e-02
2.385307500477231e-09	-4.208892e-02	-4.214773e-02
2.401202586946694e-09	-5.738303e-02	-5.744181e-02
2.412404831921477e-09	-6.782255e-02	-6.788130e-02
2.426019751169173e-09	-8.013387e-02	-8.019260e-02
2.450264553416741e-09	-1.010397e-01	-1.010984e-01
2.466404240028467e-09	-1.142374e-01	-1.142969e-01
2.483234354189003e-09	-1.273944e-01	-1.274546e-01
2.497166897094814e-09	-1.378222e-01	-1.378831e-01
2.513811055799599e-09	-1.497327e-01	-1.497945e-01
2.547099373209170e-09	-1.717785e-01	-1.718425e-01
2.580931904335100e-09	-1.917596e-01	-1.918264e-01
2.631484085497879e-09	-2.171913e-01	-2.172630e-01
2.693994016129857e-09	-2.422130e-01	-2.422917e-01
2.786717241753705e-09	-2.674411e-01	-2.675316e-01
2.873206543326534e-09	-2.772683e-01	-2.773707e-01
2.963557026045292e-09	-2.773314e-01	-2.774463e-01
3.057457328371645e-09	-2.786509e-01	-2.787785e-01
3.144115144294847e-09	-2.861553e-01	-2.862940e-01
3.227392350675407e-09	-2.930433e-01	-2.931918e-01
3.322453551902401e-09	-2.924251e-01	-2.925833e-01
3.416089031622111e-09	-2.856030e-01	-2.857695e-01
3.519090875044051e-09	-2.834771e-01	-2.836508e-01
3.569597320536807e-09	-2.880861e-01	-2.882650e-01
3.619946193204870e-09	-2.980002e-01	-2.981792e-01
3.651116637862602e-09	-3.065532e-01	-3.067321e-01
3.687471592567934e-09	-3.175186e-01	-3.177001e-01
3.725301711958460e-09	-3.288493e-01	-3.290308e-01
3.764354911050017e-09	-3.401701e-01	-3.403542e-01
3.801892027148987e-09	-3.514054e-01	-3.515899e-01
3.824217365408375e-09	-3.586546e-01	-3.588390e-01
3.841241319173319e-09	-3.645753e-01	-3.647608e-01
3.863579627246943e-09	-3.728352e-01	-3.730207e-01
3.888840751324228e-09	-3.827738e-01	-3.829593e-01
3.919256875695234e-09	-3.952188e-01	-3.954042e-01
3.949149434888164e-09	-4.073687e-01	-4.075554e-01
3.982627898625715e-09	-4.204420e-01	-4.206287e-01
3.998042015574320e-09	-4.262705e-01	-4.264571e-01
4.009393186273510e-09	-4.304957e-01	-4.306824e-01
4.025919614056487e-09	-4.365051e-01	-4.366918e-01
4.035148997409362e-09	-4.397686e-01	-4.399561e-01
4.040223086495647e-09	-4.415317e-01	-4.417193e-01
4.047090204829896e-09	-4.438874e-01	-4.440750e-01
4.054159171941185e-09	-4.462858e-01	-4.464733e-01
4.063890790574361e-09	-4.495662e-01	-4.497538e-01
4.075887582088273e-09	-4.536086e-01	-4.537961e-01
4.092063391769564e-09	-4.590935e-01	-4.592810e-01
4.112210425042292e-09	-4.659638e-01	-4.661514e-01
4.134486952696671e-09	-4.734661e-01	-4.736536e-01
4.158058970005470e-09	-4.810636e-01	-4.812517e-01
4.169329368823856e-09	-4.845296e-01	-4.847177e-01
4.179585153133154e-09	-4.875947e-01	-4.877829e-01
4.200096721751750e-09	-4.935408e-01	-4.937291e-01
4.219862644786538e-09	-4.991024e-01	-4.992906e-01
4.246165085106948e-09	-5.063480e-01	-5.065362e-01
4.277780534950115e-09	-5.149198e-01	-5.151082e-01
4.306807743274406e-09	-5.226175e-01	-5.228059e-01
4.330129081647073e-09	-5.284775e-01	-5.286661e-01
4.344077710666835e-09	-5.317222e-01	-5.319111e-01
4.356014595905788e-09	-5.342829e-01	-5.344717e-01
4.371771778609916e-09	-5.373045e-01	-5.374933e-01
4.385461536198273e-09	-5.395640e-01	-5.397532e-01
4.388787970977725e-09	-5.400588e-01	-5.402480e-01
4.391402584107894e-09	-5.404326e-01	-5.406217e-01
4.393122022107551e-09	-5.406710e-01	-5.408601e-01
4.395009864334272e-09	-5.409260e-01	-5.411152e-01
4.397368008171893e-09	-5.412349e-01	-5.414240e-01
4.400658266776180e-09	-5.416476e-01	-5.418367e-01
4.404627729073709e-09	-5.421177e-01	-5.423068e-01
4.407604529096793e-09	-5.424502e-01	-5.426393e-01
4.411029419362572e-09	-5.428118e-01	-5.430008e-01
4.415481084325340e-09	-5.432481e-01	-5.434371e-01
4.422121809614519e-09	-5.438284e-01	-5.440175e-01
4.427614113828089e-09	-5.442441e-01	-5.444336e-01
4.432824361998294e-09	-5.445852e-01	-5.447747e-01
4.438149141196797e-09	-5.448794e-01	-5.450689e-01
4.446930080700476e-09	-5.452429e-01	-5.454324e-01
4.456198175226726e-09	-5.454598e-01	-5.456497e-01
4.470153868025944e-09	-5.454676e-01	-5.456578e-01
4.485317670179418e-09	-5.450653e-01	-5.452555e-01
4.505166756606720e-09	-5.439670e-01	-5.441578e-01
4.534854727601588e-09	-5.413404e-01	-5.415317e-01
4.562543352116903e-09	-5.380548e-01	-5.382467e-01
4.593909578909394e-09	-5.335790e-01	-5.337717e-01
4.616352340750863e-09	-5.299246e-01	-5.301179e-01
4.643589336802930e-09	-5.249540e-01	-5.251480e-01
4.670488166266310e-09	-5.193702e-01	-5.195649e-01
4.711941677726032e-09	-5.090144e-01	-5.092104e-01
4.755434561950715e-09	-4.954132e-01	-4.956106e-01
4.789442076755844e-09	-4.826577e-01	-4.828561e-01
4.824064812213947e-09	-4.677009e-01	-4.679004e-01
4.852408934951512e-09	-4.539982e-01	-4.541986e-01
4.886713595252968e-09	-4.359178e-01	-4.361193e-01
4.918800732025364e-09	-4.179093e-01	-4.181119e-01
4.951291674341385e-09	-3.989933e-01	-3.991969e-01
4.988307586417638e-09	-3.769183e-01	-3.771230e-01
5.023521254376630e-09	-3.555856e-01	-3.557913e-01
5.048248982917595e-09	-3.405329e-01	-3.407394e-01
5.076305735801863e-09	-3.235759e-01	-3.237832e-01
5.105285249990535e-09	-3.064097e-01	-3.066178e-01
5.119881466826357e-09	-2.979579e-01	-2.981663e-01
5.131598449444864e-09	-2.912876e-01	-2.914964e-01
5.142838012752993e-09	-2.849856e-01	-2.851944e-01
5.159211085772614e-09	-2.759559e-01	-2.761647e-01
5.186227419970843e-09	-2.613481e-01	-2.615581e-01
5.214404294996976e-09	-2.463284e-01	-2.465390e-01
5.240943105730488e-09	-2.321723e-01	-2.323834e-01
5.258610623131595e-09	-2.226530e-01	-2.228643e-01
5.274659297752657e-09	-2.139103e-01	-2.141219e-01
5.293431988644648e-09	-2.035961e-01	-2.038077e-01
5.317290024662361e-09	-1.904565e-01	-1.906686e-01
5.346785096758258e-09	-1.743639e-01	-1.745763e-01
5.367137005525838e-09	-1.634545e-01	-1.636668e-01
5.378311100192670e-09	-1.575566e-01	-1.577692e-01
5.391292583075242e-09	-1.508048e-01	-1.510174e-01
5.409990264451322e-09	-1.413065e-01	-1.415191e-01
5.433614969413632e-09	-1.297338e-01	-1.299464e-01
5.453288639269942e-09	-1.204495e-01	-1.206620e-01
5.477318513996705e-09	-1.094386e-01	-1.096512e-01
5.496612914642081e-09	-1.007785e-01	-1.009909e-01
5.515339183296841e-09	-9.249122e-02	-9.270339e-02
5.552103422277951e-09	-7.669694e-02	-7.690867e-02
5.587195599629301e-09	-6.244189e-02	-6.265304e-02
5.618932178401981e-09	-5.041128e-02	-5.062180e-02
5.652519615760027e-09	-3.857466e-02	-3.878435e-02
5.694749224491356e-09	-2.489112e-02	-2.509960e-02
5.742694323182469e-09	-1.113028e-02	-1.133713e-02
5.798394093749730e-09	1.781343e-03	1.576667e-03
5.855874842487198e-09	1.111136e-02	1.090920e-02
5.896975073349416e-09	1.545699e-02	1.525674e-02
5.936105879099165e-09	1.829038e-02	1.809203e-02
5.978968768973613e-09	2.048279e-02	2.028656e-02
6.021120463548851e-09	2.196644e-02	2.177237e-02
6.056247847565666e-09	2.262180e-02	2.242955e-02
6.096381918873214e-09	2.237833e-02	2.218818e-02
6.138422057542606e-09	2.067724e-02	2.048931e-02
6.172260353489795e-09	1.823732e-02	1.805117e-02
6.212781522435841e-09	1.439494e-02	1.421089e-02
6.255901371637978e-09	9.754259e-03	9.572417e-03
6.294752738960042e-09	5.610081e-03	5.430170e-03
6.328595703925820e-09	2.382193e-03	2.203916e-03
6.367984920477748e-09	-6.848361e-04	-8.612790e-04
6.405544260126082e-09	-2.916199e-03	-3.092640e-03
6.453304451458828e-09	-5.017925e-03	-5.190693e-03
6.492090360314640e-09	-6.253110e-03	-6.424359e-03
6.536568658556005e-09	-7.108538e-03	-7.278179e-03
6.583826898884776e-09	-7.154499e-03	-7.322602e-03
6.620934036460146e-09	-6.485470e-03	-6.652495e-03
6.656441395744933e-09	-5.266346e-03	-5.432447e-03
6.698143472291046e-09	-3.021750e-03	-3.186896e-03
6.739753738749703e-09	3.776441e-04	2.133187e-04
6.770827763100218e-09	3.884376e-03	3.720582e-03
6.793727069275818e-09	7.081497e-03	6.918257e-03
6.819045155023908e-09	1.124178e-02	1.107868e-02
6.845375851169881e-09	1.619289e-02	1.603010e-02
6.868997623997599e-09	2.104835e-02	2.088607e-02
6.893295406439616e-09	2.630452e-02	2.614220e-02
6.911773058883681e-09	3.041175e-02	3.024971e-02
6.938443969392598e-09	3.643788e-02	3.627586e-02
6.963992375871891e-09	4.229347e-02	4.213158e-02
6.992838500818875e-09	4.899433e-02	4.883255e-02
7.023522064809527e-09	5.623128e-02	5.606956e-02
7.051725080204164e-09	6.297606e-02	6.281438e-02
7.079177389995583e-09	6.958465e-02	6.942296e-02
7.098207697967357e-09	7.415355e-02	7.399186e-02
7.112001838855558e-09	7.743868e-02	7.727698e-02
7.122191826145998e-09	7.984602e-02	7.968432e-02
7.135284709177319e-09	8.291807e-02	8.275636e-02
7.155648612303198e-09	8.765709e-02	8.749537e-02
7.175931069627512e-09	9.232748e-02	9.216572e-02
7.194791361463019e-09	9.663130e-02	9.646948e-02
7.217000381716905e-09	1.016957e-01	1.015339e-01
7.237663442989725e-09	1.064433e-01	1.062815e-01
7.252779233375616e-09	1.099388e-01	1.097769e-01
7.266835679506285e-09	1.131895e-01	1.130276e-01
7.290535237956851e-09	1.186110e-01	1.184490e-01
7.316555320757484e-09	1.243815e-01	1.242195e-01
7.337070228276316e-09	1.287192e-01	1.285572e-01
7.357237260412627e-09	1.327435e-01	1.325815e-01
7.378005275499166e-09	1.366101e-01	1.364481e-01
7.397700590745426e-09	1.400162e-01	1.398542e-01
7.414998049983326e-09	1.428202e-01	1.426581e-01
7.432517844315681e-09	1.455247e-01	1.453627e-01
7.451744886579331e-09	1.483977e-01	1.482356e-01
7.468756937015796e-09	1.509040e-01	1.507421e-01
7.483497648001660e-09	1.530778e-01	1.529158e-01
7.496970069597696e-09	1.550809e-01	1.549190e-01
7.510211625849669e-09	1.570701e-01	1.569082e-01
7.523212459311888e-09	1.590403e-01	1.588784e-01
7.533259664877726e-09	1.605705e-01	1.604087e-01
7.543776147626091e-09	1.621743e-01	1.620125e-01
7.559398097255128e-09	1.645461e-01	1.643844e-01
7.577196004178803e-09	1.672030e-01	1.670414e-01
7.598158900260299e-09	1.702089e-01	1.700474e-01
7.619765001825200e-09	1.730884e-01	1.729271e-01
7.647064704317904e-09	1.762835e-01	1.761222e-01
7.674060432148362e-09	1.788549e-01	1.786940e-01
7.703804531763958e-09	1.809489e-01	1.807883e-01
7.736886315853216e-09	1.824062e-01	1.822461e-01
7.770522380945032e-09	1.831105e-01	1.829508e-01
7.812190174851802e-09	1.832697e-01	1.831106e-01
7.857755041432515e-09	1.829232e-01	1.827648e-01
7.898357719841089e-09	1.822470e-01	1.820894e-01
7.934696029110961e-09	1.811961e-01	1.810391e-01
7.976412206720595e-09	1.791456e-01	1.789894e-01
8.008693470336442e-09	1.767633e-01	1.766078e-01
8.037398199591903e-09	1.739881e-01	1.738332e-01
8.068257467633891e-09	1.703156e-01	1.701613e-01
8.101372008037195e-09	1.656087e-01	1.654551e-01
8.132931795979827e-09	1.603826e-01	1.602297e-01
8.164085737525304e-09	1.544756e-01	1.543234e-01
8.200699593209574e-09	1.465847e-01	1.464332e-01
8.238055889917185e-09	1.376859e-01	1.375352e-01
8.279262545112666e-09	1.274231e-01	1.272732e-01
8.313200048961966e-09	1.190435e-01	1.188943e-01
8.341998737044173e-09	1.121690e-01	1.120204e-01
8.373222418826032e-09	1.049622e-01	1.048141e-01
8.406159471822875e-09	9.752035e-02	9.737282e-02
8.445984009983135e-09	8.851138e-02	8.836447e-02
8.477948179464854e-09	8.116052e-02	8.101421e-02
8.505714255945888e-09	7.468775e-02	7.454166e-02
8.538767515690251e-09	6.698202e-02	6.683630e-02
8.570233918768283e-09	5.978625e-02	5.964084e-02
8.606732797473822e-09	5.178877e-02	5.164365e-02
8.633393114091702e-09	4.624984e-02	4.610498e-02
8.655352035129527e-09	4.190914e-02	4.176431e-02
8.677824312996068e-09	3.769995e-02	3.755522e-02
8.702580072220620e-09	3.337347e-02	3.322882e-02
8.725853357581948e-09	2.964262e-02	2.949798e-02
