time	V(far)	V(near)	V(probe)
0.000000000000000e+00	2.345554e-03	2.345554e-03	2.662684e+00
1.000000000000000e-09	2.345554e-03	2.345554e-03	2.662684e+00
1.248610568318580e-09	2.345554e-03	2.345554e-03	2.662684e+00
1.250856815379700e-09	3.603772e-01	3.604042e-01	3.020716e+00
1.252084782460083e-09	6.887624e-01	6.888378e-01	3.349101e+00
1.252879534044718e-09	8.414892e-01	8.416180e-01	3.501828e+00
1.253770689591818e-09	9.730981e-01	9.733113e-01	3.633437e+00
1.255553000686017e-09	1.150196e+00	1.150666e+00	3.810535e+00
1.257350424220381e-09	1.250659e+00	1.251518e+00	3.910997e+00
1.259859523188950e-09	1.322903e+00	1.324545e+00	3.983242e+00
1.262425396949593e-09	1.354730e+00	1.357477e+00	4.015069e+00
1.266195567079885e-09	1.371996e+00	1.376953e+00	4.032335e+00
1.270596344081282e-09	1.376395e+00	1.384840e+00	4.036734e+00
1.277707891475311e-09	1.376530e+00	1.392726e+00	4.036869e+00
1.287736178196566e-09	1.374942e+00	1.406469e+00	4.035281e+00
1.307586937581327e-09	1.371894e+00	1.447564e+00	4.032232e+00
1.326757435784742e-09	1.368697e+00	1.501266e+00	4.029036e+00
1.351872357492821e-09	1.363860e+00	1.583095e+00	4.024199e+00
1.376696716693177e-09	1.357959e+00	1.665960e+00	4.018297e+00
1.405868184426658e-09	1.349146e+00	1.751831e+00	4.009485e+00
1.432451494939831e-09	1.339070e+00	1.811180e+00	3.999409e+00
1.463833447754115e-09	1.324557e+00	1.854074e+00	3.984896e+00
1.467116730195934e-09	1.322876e+00	1.856871e+00	3.983215e+00
1.473683295079570e-09	1.319426e+00	1.861594e+00	3.979764e+00
1.486816424846844e-09	1.312186e+00	1.867856e+00	3.972525e+00
1.500000000000000e-09	1.304488e+00	1.870391e+00	3.964827e+00
1.503955072545947e-09	1.302097e+00	1.870495e+00	3.962435e+00
1.509228502607210e-09	1.298857e+00	1.870271e+00	3.959196e+00
1.519775362729735e-09	1.292203e+00	1.868706e+00	3.952542e+00
1.540869082974786e-09	1.278268e+00	1.862545e+00	3.938607e+00
1.583056523464887e-09	1.248430e+00	1.847551e+00	3.908768e+00
1.622669120047347e-09	1.218662e+00	1.839797e+00	3.879001e+00
1.670478350906731e-09	1.181372e+00	1.847244e+00	3.841710e+00
1.719108622411313e-09	1.142438e+00	1.872022e+00	3.802777e+00
1.788351389750648e-09	1.085702e+00	1.921277e+00	3.746041e+00
1.808661403357446e-09	1.068791e+00	1.936575e+00	3.729130e+00
1.849281430571041e-09	1.034629e+00	1.965172e+00	3.694967e+00
1.855517895091172e-09	1.034626e+00	1.969295e+00	3.528245e+00
1.859373895400440e-09	1.037593e+00	1.971807e+00	3.524973e+00
1.862020622724521e-09	1.039294e+00	1.973514e+00	3.522725e+00
1.863987658424565e-09	1.038640e+00	1.974775e+00	3.682492e+00
1.866014184613700e-09	1.036103e+00	1.976066e+00	3.680769e+00
1.867262659266265e-09	1.034551e+00	1.976858e+00	3.679707e+00
1.868971537382874e-09	1.032442e+00	1.977937e+00	3.678253e+00
1.872389293616091e-09	1.028272e+00	1.980080e+00	3.675342e+00
1.879224806082525e-09	1.020140e+00	1.984307e+00	3.669408e+00
1.887937241732941e-09	1.010415e+00	1.989589e+00	3.659407e+00
1.895976474014996e-09	1.002505e+00	1.994367e+00	3.643956e+00
1.904912597412721e-09	9.954860e-01	1.999586e+00	3.616273e+00
1.914454835702462e-09	9.905821e-01	2.005069e+00	3.572490e+00
1.919918124085501e-09	9.884095e-01	2.008173e+00	3.567791e+00
1.925330684294989e-09	9.858809e-01	2.011228e+00	3.563132e+00
1.931249672609553e-09	9.827264e-01	2.014550e+00	3.558033e+00
1.934787625190748e-09	9.827242e-01	2.016528e+00	3.428334e+00
1.938333553945468e-09	9.844968e-01	2.018506e+00	3.425276e+00
1.941001705817277e-09	9.855353e-01	2.019992e+00	3.422974e+00
1.944302017779192e-09	9.864879e-01	2.021828e+00	3.420126e+00
1.950902641703022e-09	9.873713e-01	2.025496e+00	3.414428e+00
1.955364517391653e-09	9.906880e-01	2.027973e+00	3.220029e+00
1.959873086835792e-09	9.966199e-01	2.030478e+00	3.216134e+00
1.963711758022045e-09	1.000723e+00	2.032611e+00	3.212817e+00
1.968341134939661e-09	1.004598e+00	2.035188e+00	3.208817e+00
1.973325990005191e-09	1.012285e+00	2.037969e+00	2.949865e+00
1.977990394196969e-09	1.022456e+00	2.040578e+00	2.941188e+00
1.982663571395492e-09	1.030860e+00	2.043199e+00	2.937149e+00
1.988121828674443e-09	1.038494e+00	2.046273e+00	2.932431e+00
1.999038343232346e-09	1.047612e+00	2.052464e+00	2.923000e+00
2.006381060601888e-09	1.058456e+00	2.056664e+00	2.563572e+00
2.014447925334953e-09	1.075139e+00	2.061317e+00	2.556610e+00
2.021053721304916e-09	1.084182e+00	2.065157e+00	2.550914e+00
2.029185345388988e-09	1.090416e+00	2.069923e+00	2.543907e+00
2.037125268443274e-09	1.101066e+00	2.074619e+00	2.173007e+00
2.045621085831194e-09	1.116174e+00	2.079690e+00	2.165706e+00
2.055600922452057e-09	1.132328e+00	2.085707e+00	1.898947e+00
2.068038089520154e-09	1.149780e+00	2.093291e+00	1.840352e+00
2.085643013717510e-09	1.161041e+00	2.104176e+00	1.635905e+00
2.106308830193221e-09	1.157949e+00	2.117145e+00	1.538386e+00
2.129751594849890e-09	1.134894e+00	2.132050e+00	1.413008e+00
